name,specialization,contact_number,email,address,city,state,zip_code,education,experience_years,languages_spoken,availability,rating,latitude,longitude
Kathleen Burns,Therapist,+1-915-211-1452x6049,mjohns@example.org,"4543 Robert Plain Suite 474
Davisbury, NE 01953",Simmonsfurt,New Hampshire,59578,MS,30,"['Spanish', 'Hindi', 'Hindi']",Evening,3.0,-17.837013,-173.703442
Jody Kennedy,Psychiatrist,(704)562-7663x3416,wrightterri@example.net,"79836 Berry Key Apt. 960
Carolmouth, MA 41713",Chandlertown,New Mexico,40915,PsyD,3,['Spanish'],Afternoon,4.9,-74.0414385,44.674718
Nathan Li,Psychiatrist,586.401.7702x62022,whitedebra@example.com,"45033 Taylor Haven Suite 303
West Christinefort, VT 13545",Vegatown,Virginia,69857,PhD,16,"['English', 'English']",Evening,3.1,-63.236989,-3.387512
Tony Duncan,Psychiatrist,+1-650-911-3484,aaron24@example.net,"Unit 6041 Box 3016
DPO AA 72943",New Katherinetown,Pennsylvania,63733,PsyD,6,['Hindi'],Morning,4.4,-41.9427855,104.183159
Kenneth Walker,Therapist,(672)218-6909,gjones@example.com,"7179 Parker Canyon Apt. 374
Williamston, VT 50107",New Davidbury,Montana,29855,PsyD,16,"['French', 'Spanish']",Afternoon,3.6,-51.8169185,161.386000
Jennifer Rubio,Psychiatrist,(658)501-1997x9121,ubarker@example.net,"PSC 2002, Box 5901
APO AE 12482",West Matthew,Montana,01251,PhD,10,['Hindi'],Morning,4.8,22.4899385,5.785857
Charles Greene,Therapist,724-374-3079x8208,utorres@example.org,"8436 Karina Stravenue
Patriciatown, MD 96850",Beckmouth,Colorado,57845,PhD,2,"['Spanish', 'Hindi', 'English']",Afternoon,3.2,23.7201255,177.971831
Ashley Sullivan,Psychiatrist,001-770-870-3855x425,taylorbrian@example.net,"USCGC Rubio
FPO AP 14387",Port Michaelbury,Connecticut,12369,MS,16,"['English', 'Spanish']",Afternoon,3.7,61.776010,-15.422588
Douglas Miller,Therapist,(977)600-1703,xjohnson@example.org,"36805 Dawn Centers
Lake Matthew, PR 97475",Johnville,Indiana,89561,MS,7,"['French', 'English']",Morning,3.5,-74.5849995,-173.660400
Gregory Coleman,Psychiatrist,885.587.6149x270,ruizclifford@example.com,"04760 Foster Gateway
Nguyentown, AK 91370",Middletonville,Nevada,64912,MD,4,"['French', 'English']",Afternoon,5.0,35.3548825,45.018752
